deliveryScheduling,deliveryFee,address,state,city,zip
1,3.99,3611 E 106TH ST,IL,CHICAGO,60617
1,3.99,5730 DEMPSTER ST,IL,MORTON GROVE,60053
1,3.99,10345 W ROOSEVELT RD,IL,WESTCHESTER,60154
1,3.99,800 DEVON AVE,IL,PARK RIDGE,60068
1,3.99,2 N LA GRANGE RD,IL,LA GRANGE,60525
1,3.99,6001 W 95TH ST,IL,OAK LAWN,60453
1,3.99,4009 OLD ORCHARD RD,IL,SKOKIE,60076
1,3.99,833 W 115TH ST,IL,CHICAGO,60643
1,3.99,8715 S HARLEM AVE,IL,BRIDGEVIEW,60455
1,3.99,3220 W 111TH ST,IL,CHICAGO,60655
1,3.99,9800 IRVING PARK RD,IL,SCHILLER PARK,60176
1,3.99,10639 S CICERO AVE,IL,OAK LAWN,60453
1,3.99,8001 N MILWAUKEE AVE,IL,NILES,60714
1,3.99,901 W TOUHY AVE,IL,PARK RIDGE,60068
1,3.99,811 GREEN BAY RD,IL,WILMETTE,60091
1,3.99,4730 BUTTERFIELD RD,IL,HILLSIDE,60162
1,3.99,11833 S WESTERN AVE,IL,CHICAGO,60643
1,3.99,2151 S WOLF RD,IL,HILLSIDE,60162
1,3.99,6 E NORTH AVE,IL,NORTHLAKE,60164
1,3.99,11801 S AVENUE O,IL,CHICAGO,60617
1,3.99,4700 GILBERT AVE,IL,WESTERN SPRINGS,60558
1,3.99,9301 WAUKEGAN RD,IL,MORTON GROVE,60053
1,3.99,7945 W 95TH ST,IL,HICKORY HILLS,60457
1,3.99,3232 LAKE AVE,IL,WILMETTE,60091
1,3.99,6430 W 111TH ST,IL,WORTH,60482
1,3.99,6600 WILLOW SPRINGS RD,IL,LA GRANGE HIGHLANDS,60525
1,3.99,8800 W 95TH ST,IL,HICKORY HILLS,60457
0,0.0,1775 W DEMPSTER,IL,PARK RIDGE,60068
1,3.99,9000 N GREENWOOD AVE,IL,NILES,60714
1,3.99,2690 GOLF RD,IL,GLENVIEW,60025
1,3.99,160 N ROBERT T PALMER DR,IL,ELMHURST,60126
1,3.99,11053 SOUTHWEST HWY,IL,PALOS HILLS,60465
1,3.99,1403 WAUKEGAN RD,IL,GLENVIEW,60025
1,3.99,1858 E OAKTON ST,IL,DES PLAINES,60018
1,3.99,15 GRANT SQ,IL,HINSDALE,60521
1,3.99,1825 WILLOW RD,IL,NORTHFIELD,60093
1,3.99,12659 S RIDGELAND AVE,IL,PALOS HEIGHTS,60463
1,3.99,5 W IRVING PARK RD,IL,BENSENVILLE,60106
1,3.99,13501 CICERO AVE,IL,CRESTWOOD,60418
1,3.99,3301 GLENVIEW RD,IL,GLENVIEW,60025
1,3.99,925 GREEN BAY RD,IL,WINNETKA,60093
1,3.99,1378 MINER ST,IL,DES PLAINES,60016
0,0.0,4339 DI PAOLO CTR,IL,GLENVIEW,60025
1,3.99,1150 E SIBLEY BLVD,IL,DOLTON,60419
1,3.99,200 E ROOSEVELT RD,IL,VILLA PARK,60181
1,3.99,501 PLAINFIELD RD,IL,WILLOWBROOK,60527
1,3.99,3145 W 147TH ST,IL,POSEN,60469
1,3.99,2205 W 22ND ST,IL,OAK BROOK,60523
1,3.99,10 E SAINT CHARLES RD,IL,VILLA PARK,60181
1,3.99,522 TORRENCE AVE,IL,CALUMET CITY,60409
0,0.0,1 N BROADWAY ST,IL,DES PLAINES,60016
1,3.99,4800 148TH ST,IL,MIDLOTHIAN,60445
1,3.99,1 E OGDEN AVE,IL,WESTMONT,60559
0,3.99,353 PARK AVE,IL,GLENCOE,60022
1,3.99,16 E LAKE ST,IL,ADDISON,60101
1,3.99,17 W GOLF RD,IL,DES PLAINES,60016
1,3.99,2871 PFINGSTEN RD,IL,GLENVIEW,60026
1,3.99,390 E 162ND ST,IL,SOUTH HOLLAND,60473
1,3.99,8 W 63RD ST,IL,WESTMONT,60559
1,3.99,13023 S LA GRANGE RD,IL,PALOS PARK,60464
1,3.99,10S370 KINGERY HWY,IL,WILLOWBROOK,60527
0,3.99,15940 KEDZIE AVE,IL,MARKHAM,60428
1,3.99,21 RAND RD,IL,DES PLAINES,60016
1,3.99,1028 S ELMHURST RD,IL,MOUNT PROSPECT,60056
